CustomerID,Date,TransactionID,Amount
C001,2026-01-05,T1001,5000
C001,2026-02-10,T1002,3500
C001,2026-05-20,T1003,4200
C002,2026-01-08,T1004,25000
C002,2026-01-15,T1005,18000
C002,2026-02-02,T1006,22000
C002,2026-03-10,T1007,20000
C002,2026-04-05,T1008,19000
C002,2026-05-12,T1009,21000
C002,2026-06-01,T1010,23000
C003,2026-06-02,T1011,500
C004,2026-01-12,T1012,45000
C004,2026-01-20,T1013,50000
C004,2026-02-15,T1014,48000
C004,2026-03-18,T1015,52000
C004,2026-04-10,T1016,47000
C004,2026-05-22,T1017,55000
C004,2026-06-05,T1018,49000
C005,2026-02-05,T1019,8000
C005,2026-03-12,T1020,7500
C005,2026-04-18,T1021,8500
C006,2026-01-18,T1022,35000
C006,2026-02-22,T1023,38000
C006,2026-03-28,T1024,36000
C006,2026-04-30,T1025,40000
C006,2026-05-15,T1026,37000
C007,2026-05-28,T1027,2000
C008,2026-01-25,T1028,12000
C008,2026-02-28,T1029,11000
C008,2026-04-05,T1030,13000
C008,2026-05-10,T1031,12500
C009,2026-03-05,T1032,9000
C009,2026-04-12,T1033,9500
C009,2026-05-20,T1034,8500
C010,2026-01-30,T1035,55000
C010,2026-02-20,T1036,58000
C010,2026-03-25,T1037,60000
C010,2026-04-28,T1038,57000
C010,2026-05-30,T1039,62000
C010,2026-06-03,T1040,59000
C011,2026-04-15,T1041,1500
C012,2026-01-10,T1042,18000
C012,2026-02-08,T1043,16000
C012,2026-03-15,T1044,17000
C012,2026-04-22,T1045,19000
C012,2026-05-25,T1046,18500
C013,2026-05-05,T1047,3000
C014,2026-02-12,T1048,42000
C014,2026-03-20,T1049,45000
C014,2026-04-25,T1050,43000
C014,2026-05-28,T1051,46000
C014,2026-06-02,T1052,44000
C015,2026-06-01,T1053,1000
C016,2026-01-22,T1054,28000
C016,2026-02-18,T1055,26000
C016,2026-03-22,T1056,29000
C016,2026-04-20,T1057,27000
C017,2026-05-12,T1058,5500
C018,2026-01-28,T1059,65000
C018,2026-02-25,T1060,68000
C018,2026-03-30,T1061,70000
C018,2026-04-28,T1062,67000
C018,2026-05-26,T1063,72000
C018,2026-06-04,T1064,69000
C019,2026-04-08,T1065,4500
C020,2026-02-03,T1066,31000
C020,2026-03-10,T1067,33000
C020,2026-04-15,T1068,32000
C020,2026-05-18,T1069,35000
